,state_name,date,election_type,party,govt_type,election_key,state_abbr
122,idaho,1986-11-04,g,np,congress,1986-11-04-g-ID,ID
123,illinois,1986-11-04,g,np,congress,1986-11-04-g-IL,IL
124,indiana,1986-11-04,g,np,congress,1986-11-04-g-IN,IN
125,iowa,1986-11-04,g,np,congress,1986-11-04-g-IA,IA
126,kansas,1986-11-04,g,np,congress,1986-11-04-g-KS,KS
127,kentucky,1986-11-04,g,np,congress,1986-11-04-g-KY,KY
128,louisiana,1986-11-04,g,np,congress,1986-11-04-g-LA,LA
129,maine,1986-11-04,g,np,congress,1986-11-04-g-ME,ME
130,montana,1986-11-04,g,np,congress,1986-11-04-g-MT,MT
131,nebraska,1986-11-04,g,np,congress,1986-11-04-g-NE,NE
132,nevada,1986-11-04,g,np,congress,1986-11-04-g-NV,NV
133,new hampshire,1986-11-04,g,np,congress,1986-11-04-g-NH,NH
134,new jersey,1986-11-04,g,np,congress,1986-11-04-g-NJ,NJ
135,new mexico,1986-11-04,g,np,congress,1986-11-04-g-NM,NM
136,new york,1986-11-04,g,np,congress,1986-11-04-g-NY,NY
137,north carolina,1986-11-04,g,np,congress,1986-11-04-g-NC,NC
138,north dakota,1986-11-04,g,np,congress,1986-11-04-g-ND,ND
139,ohio,1986-11-04,g,np,congress,1986-11-04-g-OH,OH
140,oklahoma,1986-11-04,g,np,congress,1986-11-04-g-OK,OK
141,oregon,1986-11-04,g,np,congress,1986-11-04-g-OR,OR
142,maryland,1986-11-04,g,np,congress,1986-11-04-g-MD,MD
143,massachusetts,1986-11-04,g,np,congress,1986-11-04-g-MA,MA
144,michigan,1986-11-04,g,np,congress,1986-11-04-g-MI,MI
145,minnesota,1986-11-04,g,np,congress,1986-11-04-g-MN,MN
146,mississippi,1986-11-04,g,np,congress,1986-11-04-g-MS,MS
147,missouri,1986-11-04,g,np,congress,1986-11-04-g-MO,MO
148,pennsylvania,1986-11-04,g,np,congress,1986-11-04-g-PA,PA
149,rhode island,1986-11-04,g,np,congress,1986-11-04-g-RI,RI
150,south carolina,1986-11-04,g,np,congress,1986-11-04-g-SC,SC
151,south dakota,1986-11-04,g,np,congress,1986-11-04-g-SD,SD
152,tennessee,1986-11-04,g,np,congress,1986-11-04-g-TN,TN
153,texas,1986-11-04,g,np,congress,1986-11-04-g-TX,TX
154,utah,1986-11-04,g,np,congress,1986-11-04-g-UT,UT
155,vermont,1986-11-04,g,np,congress,1986-11-04-g-VT,VT
156,virginia,1986-11-04,g,np,congress,1986-11-04-g-VA,VA
157,washington,1986-11-04,g,np,congress,1986-11-04-g-WA,WA
158,west virginia,1986-11-04,g,np,congress,1986-11-04-g-WV,WV
159,wisconsin,1986-11-04,g,np,congress,1986-11-04-g-WI,WI
160,wyoming,1986-11-04,g,np,congress,1986-11-04-g-WY,WY
161,alaska,1986-11-04,g,np,congress,1986-11-04-g-AK,AK
162,hawaii,1986-11-04,g,np,congress,1986-11-04-g-HI,HI
163,guam,1986-11-04,g,np,congress,1986-11-04-g-GU,GU
164,american samoa,1986-11-04,g,np,congress,1986-11-04-g-AS,AS
165,northern mariana islands,1986-11-04,g,np,congress,1986-11-04-g-MP,MP
166,virgin islands,1986-11-04,g,np,congress,1986-11-04-g-VI,VI
167,puerto rico,1986-11-04,g,np,congress,1986-11-04-g-PR,PR
168,alabama,1988-11-01,g,np,congress,1988-11-01-g-AL,AL
169,arizona,1988-11-01,g,np,congress,1988-11-01-g-AZ,AZ
170,arkansas,1988-11-01,g,np,congress,1988-11-01-g-AR,AR
171,california,1988-11-01,g,np,congress,1988-11-01-g-CA,CA
172,colorado,1988-11-01,g,np,congress,1988-11-01-g-CO,CO
173,connecticut,1988-11-01,g,np,congress,1988-11-01-g-CT,CT
174,delaware,1988-11-01,g,np,congress,1988-11-01-g-DE,DE
175,district of columbia,1988-11-01,g,np,congress,1988-11-01-g-DC,DC
176,florida,1988-11-01,g,np,congress,1988-11-01-g-FL,FL
177,georgia,1988-11-01,g,np,congress,1988-11-01-g-GA,GA
178,idaho,1988-11-01,g,np,congress,1988-11-01-g-ID,ID
179,illinois,1988-11-01,g,np,congress,1988-11-01-g-IL,IL
180,indiana,1988-11-01,g,np,congress,1988-11-01-g-IN,IN
181,iowa,1988-11-01,g,np,congress,1988-11-01-g-IA,IA
182,kansas,1988-11-01,g,np,congress,1988-11-01-g-KS,KS
183,kentucky,1988-11-01,g,np,congress,1988-11-01-g-KY,KY
184,louisiana,1988-11-01,g,np,congress,1988-11-01-g-LA,LA
185,maine,1988-11-01,g,np,congress,1988-11-01-g-ME,ME
186,montana,1988-11-01,g,np,congress,1988-11-01-g-MT,MT
187,nebraska,1988-11-01,g,np,congress,1988-11-01-g-NE,NE
188,nevada,1988-11-01,g,np,congress,1988-11-01-g-NV,NV
189,new hampshire,1988-11-01,g,np,congress,1988-11-01-g-NH,NH
190,new jersey,1988-11-01,g,np,congress,1988-11-01-g-NJ,NJ
191,new mexico,1988-11-01,g,np,congress,1988-11-01-g-NM,NM
192,new york,1988-11-01,g,np,congress,1988-11-01-g-NY,NY
193,north carolina,1988-11-01,g,np,congress,1988-11-01-g-NC,NC
194,north dakota,1988-11-01,g,np,congress,1988-11-01-g-ND,ND
195,ohio,1988-11-01,g,np,congress,1988-11-01-g-OH,OH
196,oklahoma,1988-11-01,g,np,congress,1988-11-01-g-OK,OK
197,oregon,1988-11-01,g,np,congress,1988-11-01-g-OR,OR
198,maryland,1988-11-01,g,np,congress,1988-11-01-g-MD,MD
199,massachusetts,1988-11-01,g,np,congress,1988-11-01-g-MA,MA
200,michigan,1988-11-01,g,np,congress,1988-11-01-g-MI,MI
201,minnesota,1988-11-01,g,np,congress,1988-11-01-g-MN,MN
202,mississippi,1988-11-01,g,np,congress,1988-11-01-g-MS,MS
203,missouri,1988-11-01,g,np,congress,1988-11-01-g-MO,MO
204,pennsylvania,1988-11-01,g,np,congress,1988-11-01-g-PA,PA
205,rhode island,1988-11-01,g,np,congress,1988-11-01-g-RI,RI
206,south carolina,1988-11-01,g,np,congress,1988-11-01-g-SC,SC
207,south dakota,1988-11-01,g,np,congress,1988-11-01-g-SD,SD
208,tennessee,1988-11-01,g,np,congress,1988-11-01-g-TN,TN
209,texas,1988-11-01,g,np,congress,1988-11-01-g-TX,TX
210,utah,1988-11-01,g,np,congress,1988-11-01-g-UT,UT
211,vermont,1988-11-01,g,np,congress,1988-11-01-g-VT,VT
212,virginia,1988-11-01,g,np,congress,1988-11-01-g-VA,VA
