state_name,date,election_type,party,govt_type,election_key,state_abbr
mississippi,1986-11-04,g,np,congress,1986-11-04-g-MS,MS
missouri,1986-11-04,g,np,congress,1986-11-04-g-MO,MO
pennsylvania,1986-11-04,g,np,congress,1986-11-04-g-PA,PA
rhode island,1986-11-04,g,np,congress,1986-11-04-g-RI,RI
south carolina,1986-11-04,g,np,congress,1986-11-04-g-SC,SC
south dakota,1986-11-04,g,np,congress,1986-11-04-g-SD,SD
tennessee,1986-11-04,g,np,congress,1986-11-04-g-TN,TN
texas,1986-11-04,g,np,congress,1986-11-04-g-TX,TX
utah,1986-11-04,g,np,congress,1986-11-04-g-UT,UT
vermont,1986-11-04,g,np,congress,1986-11-04-g-VT,VT
virginia,1986-11-04,g,np,congress,1986-11-04-g-VA,VA
washington,1986-11-04,g,np,congress,1986-11-04-g-WA,WA
west virginia,1986-11-04,g,np,congress,1986-11-04-g-WV,WV
wisconsin,1986-11-04,g,np,congress,1986-11-04-g-WI,WI
wyoming,1986-11-04,g,np,congress,1986-11-04-g-WY,WY
alaska,1986-11-04,g,np,congress,1986-11-04-g-AK,AK
hawaii,1986-11-04,g,np,congress,1986-11-04-g-HI,HI
guam,1986-11-04,g,np,congress,1986-11-04-g-GU,GU
american samoa,1986-11-04,g,np,congress,1986-11-04-g-AS,AS
northern mariana islands,1986-11-04,g,np,congress,1986-11-04-g-MP,MP
virgin islands,1986-11-04,g,np,congress,1986-11-04-g-VI,VI
puerto rico,1986-11-04,g,np,congress,1986-11-04-g-PR,PR
alabama,1988-11-01,g,np,congress,1988-11-01-g-AL,AL
arizona,1988-11-01,g,np,congress,1988-11-01-g-AZ,AZ
arkansas,1988-11-01,g,np,congress,1988-11-01-g-AR,AR
california,1988-11-01,g,np,congress,1988-11-01-g-CA,CA
colorado,1988-11-01,g,np,congress,1988-11-01-g-CO,CO
connecticut,1988-11-01,g,np,congress,1988-11-01-g-CT,CT
delaware,1988-11-01,g,np,congress,1988-11-01-g-DE,DE
district of columbia,1988-11-01,g,np,congress,1988-11-01-g-DC,DC
florida,1988-11-01,g,np,congress,1988-11-01-g-FL,FL
georgia,1988-11-01,g,np,congress,1988-11-01-g-GA,GA
idaho,1988-11-01,g,np,congress,1988-11-01-g-ID,ID
illinois,1988-11-01,g,np,congress,1988-11-01-g-IL,IL
indiana,1988-11-01,g,np,congress,1988-11-01-g-IN,IN
iowa,1988-11-01,g,np,congress,1988-11-01-g-IA,IA
kansas,1988-11-01,g,np,congress,1988-11-01-g-KS,KS
kentucky,1988-11-01,g,np,congress,1988-11-01-g-KY,KY
louisiana,1988-11-01,g,np,congress,1988-11-01-g-LA,LA
maine,1988-11-01,g,np,congress,1988-11-01-g-ME,ME
montana,1988-11-01,g,np,congress,1988-11-01-g-MT,MT
nebraska,1988-11-01,g,np,congress,1988-11-01-g-NE,NE
nevada,1988-11-01,g,np,congress,1988-11-01-g-NV,NV
new hampshire,1988-11-01,g,np,congress,1988-11-01-g-NH,NH
new jersey,1988-11-01,g,np,congress,1988-11-01-g-NJ,NJ
new mexico,1988-11-01,g,np,congress,1988-11-01-g-NM,NM
new york,1988-11-01,g,np,congress,1988-11-01-g-NY,NY
north carolina,1988-11-01,g,np,congress,1988-11-01-g-NC,NC
north dakota,1988-11-01,g,np,congress,1988-11-01-g-ND,ND
ohio,1988-11-01,g,np,congress,1988-11-01-g-OH,OH
oklahoma,1988-11-01,g,np,congress,1988-11-01-g-OK,OK
