STATE ,CONGRESSIONAL PRIMARY DATE,CONGRESSIONAL PRIMARY RUNOFF
Kentucky ,6/23/2020, 
New York ,6/23/2020, 
Virginia ,6/23/2020, 
Colorado ,6/30/2020, 
Oklahoma ,6/30/2020,8/25/2020
Utah ,6/30/2020, 
New Jersey ,7/7/2020, 
Maine ,7/14/2020, 
Virgin Islands ,8/1/2020, 
Arizona ,8/4/2020, 
Kansas ,8/4/2020, 
Michigan ,8/4/2020, 
Missouri ,8/4/2020, 
Washington ,8/4/2020, 
Tennessee ,8/6/2020, 
Hawaii ,8/8/2020, 
Puerto Rico ,8/9/2020, 
Minnesota ,8/11/2020, 
Vermont ,8/11/2020, 
Wisconsin ,8/11/2020, 
Connecticut ,8/11/2020, 
Alaska ,8/18/2020, 
Florida ,8/18/2020, 
Wyoming ,8/18/2020, 
Guam ,8/29/2020, 
Massachusetts ,9/1/2020, 
New Hampshire,9/8/2020, 
Rhode Island ,9/8/2020,
Delaware ,9/15/2020, 
ALABAMA,6/4/2002,6/25/2002
ALASKA,8/27/2002,
AMERICAN SAMOA,11/5/2002,11/19/2002
ARIZONA,9/10/2002,
ARKANSAS,5/21/2002,6/11/2002
CALIFORNIA,3/5/2002,
COLORADO,8/13/2002,
CONNECTICUT,9/10/2002,
DELAWARE,9/7/2002,
D.C.,9/10/2002,
FLORIDA,9/10/2002,
GEORGIA,8/20/2002,9/10/2002
GUAM,9/7/2002,
HAWAII,9/21/2002,
IDAHO,5/28/2002,
ILLINOIS,3/19/2002,
INDIANA,5/7/2002,
IOWA,6/4/2002,
KANSAS,8/6/2002,
KENTUCKY,5/28/2002,
MAINE,6/11/2002,
MARYLAND,9/10/2002,
MASSACHUSETTS,9/17/2002,
MICHIGAN,8/6/2002,
MINNESOTA,9/10/2002,
MISSISSIPPI,6/4/2002,6/25/2002
MISSOURI,8/6/2002,
MONTANA,6/4/2002,
NEBRASKA,5/14/2002,
NEVADA,9/3/2002,
