state_name,date,election_type,party,govt_type,election_key,state_abbr
utah,2008-06-24,cp,n/a,congress,2008-06-24-cp-UT,UT
georgia,2008-07-15,cp,n/a,congress,2008-07-15-cp-GA,GA
oklahoma,2008-07-29,cp,n/a,congress,2008-07-29-cp-OK,OK
kansas,2008-08-05,cp,n/a,congress,2008-08-05-cp-KS,KS
michigan,2008-08-05,cp,n/a,congress,2008-08-05-cp-MI,MI
missouri,2008-08-05,cp,n/a,congress,2008-08-05-cp-MO,MO
tennessee,2008-08-07,cp,n/a,congress,2008-08-07-cp-TN,TN
colorado,2008-08-12,cp,n/a,congress,2008-08-12-cp-CO,CO
connecticut,2008-08-12,cp,n/a,congress,2008-08-12-cp-CT,CT
nevada,2008-08-12,cp,n/a,congress,2008-08-12-cp-NV,NV
washington,2008-08-19,cp,n/a,congress,2008-08-19-cp-WA,WA
wyoming,2008-08-19,cp,n/a,congress,2008-08-19-cp-WY,WY
alaska,2008-08-26,cp,n/a,congress,2008-08-26-cp-AK,AK
florida,2008-08-26,cp,n/a,congress,2008-08-26-cp-FL,FL
arizona,2008-09-02,cp,n/a,congress,2008-09-02-cp-AZ,AZ
guam,2008-09-06,cp,n/a,congress,2008-09-06-cp-GU,GU
louisiana,2008-09-06,cp,n/a,congress,2008-09-06-cp-LA,LA
delaware,2008-09-09,cp,n/a,congress,2008-09-09-cp-DE,DE
d.c.,2008-09-09,cp,n/a,congress,,
minnesota,2008-09-09,cp,n/a,congress,2008-09-09-cp-MN,MN
new hampshire,2008-09-09,cp,n/a,congress,2008-09-09-cp-NH,NH
new york,2008-09-09,cp,n/a,congress,2008-09-09-cp-NY,NY
rhode island,2008-09-09,cp,n/a,congress,2008-09-09-cp-RI,RI
vermont,2008-09-09,cp,n/a,congress,2008-09-09-cp-VT,VT
wisconsin,2008-09-09,cp,n/a,congress,2008-09-09-cp-WI,WI
virgin islands,2008-09-13,cp,n/a,congress,2008-09-13-cp-VI,VI
massachusetts,2008-09-16,cp,n/a,congress,2008-09-16-cp-MA,MA
hawaii,2008-09-20,cp,n/a,congress,2008-09-20-cp-HI,HI
american samoa,2008-11-04,cp,n/a,congress,2008-11-04-cp-AS,AS
ohio,2012-03-06,cp,n/a,congress,2012-03-06-cp-OH,OH
alabama,2012-03-13,cp,n/a,congress,2012-03-13-cp-AL,AL
mississippi,2012-03-13,cp,n/a,congress,2012-03-13-cp-MS,MS
puerto rico,2012-03-18,cp,n/a,congress,2012-03-18-cp-PR,PR
illinois,2012-03-20,cp,n/a,congress,2012-03-20-cp-IL,IL
d.c.,2012-04-03,cp,n/a,congress,,
maryland,2012-04-01,cp,n/a,congress,2012-04-01-cp-MD,MD
pennsylvania,2012-04-24,cp,n/a,congress,2012-04-24-cp-PA,PA
indiana,2012-05-01,cp,n/a,congress,2012-05-01-cp-IN,IN
north carolina,2012-05-08,cp,n/a,congress,2012-05-08-cp-NC,NC
west virginia,2012-05-08,cp,n/a,congress,2012-05-08-cp-WV,WV
